date,adj_close
2025-03-26,113.76
2025-03-27,111.43
2025-03-28,109.67
2025-03-31,108.38
2025-04-01,110.15
2025-04-02,110.42
2025-04-03,101.8
2025-04-04,94.31
2025-04-07,97.64
2025-04-08,96.3
2025-04-09,114.33
2025-04-10,107.57
2025-04-11,110.93
2025-04-14,110.71
2025-04-15,112.2
2025-04-16,104.49
2025-04-17,101.49
2025-04-21,96.91
2025-04-22,98.89
2025-04-23,102.71
2025-04-24,106.43
2025-04-25,111.01
2025-04-28,108.73
2025-04-29,109.02
2025-04-30,108.92
2025-05-01,111.61
2025-05-02,114.5
2025-05-05,113.82
2025-05-06,113.54
2025-05-07,117.06
2025-05-08,117.37
2025-05-09,116.65
2025-05-12,123.0
2025-05-13,129.93
2025-05-14,135.34
2025-05-15,134.83
2025-05-16,135.4
2025-05-19,135.57
2025-05-20,134.38
2025-05-21,131.8
2025-05-22,132.83
2025-05-23,131.29
2025-05-27,135.5
2025-05-28,134.81
2025-05-29,139.19
2025-05-30,135.13
2025-06-02,137.38
2025-06-03,141.22
2025-06-04,141.92
2025-06-05,139.99
2025-06-06,141.72
2025-06-09,142.63
2025-06-10,143.96
2025-06-11,142.83
2025-06-12,145.0
2025-06-13,141.97
2025-06-16,144.69
2025-06-17,144.12
2025-06-18,145.48
2025-06-20,143.85
2025-06-23,144.17
2025-06-24,147.9
2025-06-25,154.31
2025-06-26,155.02
2025-06-27,157.75
2025-06-30,157.99
2025-07-01,153.3
2025-07-02,157.25
2025-07-03,159.34
2025-07-07,158.24
2025-07-08,160.0
2025-07-09,162.88
2025-07-10,164.1
2025-07-11,164.92
2025-07-14,164.07
2025-07-15,170.7
2025-07-16,171.37
2025-07-17,173.0
2025-07-18,172.41
2025-07-21,171.38
2025-07-22,167.03
2025-07-23,170.78
2025-07-24,173.74
2025-07-25,173.5
2025-07-28,176.75
2025-07-29,175.51
2025-07-30,179.27
2025-07-31,177.87
2025-08-01,173.72
2025-08-04,180.0
2025-08-05,178.26
2025-08-06,179.42
2025-08-07,180.77
2025-08-08,182.7
2025-08-11,182.06
2025-08-12,183.16
2025-08-13,181.59
2025-08-14,182.02
2025-08-15,180.45
2025-08-18,182.01
